,model,test_path,num_ok,num_all,percent
0,llama2,../../metrics/knowledge_tests/obrazovaka/the_dawns_here_are_quiet.json,4,16,25.0
1,llama2,../../metrics/knowledge_tests/obrazovaka/the_brothers_karamazov.json,1,10,10.0
2,llama2,../../metrics/knowledge_tests/obrazovaka/and_quiet_flows_the_don.json,3,18,16.67
3,llama2,../../metrics/knowledge_tests/obrazovaka/oblomov.json,2,19,10.53
4,llama2,../../metrics/knowledge_tests/obrazovaka/evenings_on_a_farm_near_dikanka.json,2,10,20.0
5,llama2,../../metrics/knowledge_tests/obrazovaka/doctor_zhivago.json,2,13,15.38
6,llama2,../../metrics/knowledge_tests/obrazovaka/war_and_peace.json,14,70,20.0
7,llama2,../../metrics/knowledge_tests/obrazovaka/the_master_and_margarita.json,4,16,25.0
8,llama2,../../metrics/knowledge_tests/obrazovaka/dead_souls.json,3,19,15.79
9,llama2,../../metrics/knowledge_tests/obrazovaka/the_gulag_archipelago.json,2,10,20.0
10,llama2,../../metrics/knowledge_tests/obrazovaka/the_white_guard.json,3,10,30.0
11,llama2,../../metrics/knowledge_tests/obrazovaka/the_heart_of_a_dog.json,6,30,20.0
12,llama2,../../metrics/knowledge_tests/obrazovaka/idiot.json,3,12,25.0
13,llama2,../../metrics/knowledge_tests/obrazovaka/crime_and_punishment.json,3,16,18.75
14,llama2,../../metrics/knowledge_tests/obrazovaka/anna_karenina.json,2,10,20.0
15,llama3,../../metrics/knowledge_tests/obrazovaka/the_dawns_here_are_quiet.json,8,16,50.0
16,llama3,../../metrics/knowledge_tests/obrazovaka/the_brothers_karamazov.json,7,10,70.0
17,llama3,../../metrics/knowledge_tests/obrazovaka/and_quiet_flows_the_don.json,11,18,61.11
18,llama3,../../metrics/knowledge_tests/obrazovaka/oblomov.json,14,19,73.68
19,llama3,../../metrics/knowledge_tests/obrazovaka/evenings_on_a_farm_near_dikanka.json,1,10,10.0
20,llama3,../../metrics/knowledge_tests/obrazovaka/doctor_zhivago.json,7,13,53.85
21,llama3,../../metrics/knowledge_tests/obrazovaka/war_and_peace.json,34,70,48.57
22,llama3,../../metrics/knowledge_tests/obrazovaka/the_master_and_margarita.json,10,16,62.5
23,llama3,../../metrics/knowledge_tests/obrazovaka/dead_souls.json,10,19,52.63
24,llama3,../../metrics/knowledge_tests/obrazovaka/the_gulag_archipelago.json,6,10,60.0
25,llama3,../../metrics/knowledge_tests/obrazovaka/the_white_guard.json,6,10,60.0
26,llama3,../../metrics/knowledge_tests/obrazovaka/the_heart_of_a_dog.json,11,30,36.67
27,llama3,../../metrics/knowledge_tests/obrazovaka/idiot.json,6,12,50.0
28,llama3,../../metrics/knowledge_tests/obrazovaka/crime_and_punishment.json,10,16,62.5
29,llama3,../../metrics/knowledge_tests/obrazovaka/anna_karenina.json,5,10,50.0
