,model,test_path,num_ok,num_all,percent
0,llama2,../../metrics/knowledge_tests/obrazovaka/the_dawns_here_are_quiet.json,4,16,25.0
1,llama2,../../metrics/knowledge_tests/obrazovaka/the_brothers_karamazov.json,3,10,30.0
2,llama2,../../metrics/knowledge_tests/obrazovaka/and_quiet_flows_the_don.json,4,18,22.22
3,llama2,../../metrics/knowledge_tests/obrazovaka/oblomov.json,2,19,10.53
4,llama2,../../metrics/knowledge_tests/obrazovaka/evenings_on_a_farm_near_dikanka.json,2,10,20.0
5,llama2,../../metrics/knowledge_tests/obrazovaka/doctor_zhivago.json,3,13,23.08
6,llama2,../../metrics/knowledge_tests/obrazovaka/war_and_peace.json,16,70,22.86
7,llama2,../../metrics/knowledge_tests/obrazovaka/the_master_and_margarita.json,5,16,31.25
8,llama2,../../metrics/knowledge_tests/obrazovaka/dead_souls.json,7,19,36.84
9,llama2,../../metrics/knowledge_tests/obrazovaka/the_gulag_archipelago.json,1,10,10.0
10,llama2,../../metrics/knowledge_tests/obrazovaka/the_white_guard.json,2,10,20.0
11,llama2,../../metrics/knowledge_tests/obrazovaka/the_heart_of_a_dog.json,5,30,16.67
12,llama2,../../metrics/knowledge_tests/obrazovaka/idiot.json,3,12,25.0
13,llama2,../../metrics/knowledge_tests/obrazovaka/crime_and_punishment.json,5,16,31.25
14,llama2,../../metrics/knowledge_tests/obrazovaka/anna_karenina.json,3,10,30.0
15,llama3,../../metrics/knowledge_tests/obrazovaka/the_dawns_here_are_quiet.json,5,16,31.25
16,llama3,../../metrics/knowledge_tests/obrazovaka/the_brothers_karamazov.json,3,10,30.0
17,llama3,../../metrics/knowledge_tests/obrazovaka/and_quiet_flows_the_don.json,8,18,44.44
18,llama3,../../metrics/knowledge_tests/obrazovaka/oblomov.json,10,19,52.63
19,llama3,../../metrics/knowledge_tests/obrazovaka/evenings_on_a_farm_near_dikanka.json,0,10,0.0
20,llama3,../../metrics/knowledge_tests/obrazovaka/doctor_zhivago.json,6,13,46.15
21,llama3,../../metrics/knowledge_tests/obrazovaka/war_and_peace.json,23,70,32.86
22,llama3,../../metrics/knowledge_tests/obrazovaka/the_master_and_margarita.json,4,16,25.0
23,llama3,../../metrics/knowledge_tests/obrazovaka/dead_souls.json,4,19,21.05
24,llama3,../../metrics/knowledge_tests/obrazovaka/the_gulag_archipelago.json,5,10,50.0
25,llama3,../../metrics/knowledge_tests/obrazovaka/the_white_guard.json,2,10,20.0
26,llama3,../../metrics/knowledge_tests/obrazovaka/the_heart_of_a_dog.json,13,30,43.33
27,llama3,../../metrics/knowledge_tests/obrazovaka/idiot.json,3,12,25.0
28,llama3,../../metrics/knowledge_tests/obrazovaka/crime_and_punishment.json,7,16,43.75
29,llama3,../../metrics/knowledge_tests/obrazovaka/anna_karenina.json,4,10,40.0
